Order_ID,Product_Category,Country,Quantity,Delivery_Time_Days,Column1,Customer_Rating,Year, Unit_Price_USD ,Order_Amount,Return_Rate_%
94,Home & Kitchen,USA,6,4,5.01,2.3,2013,$304 ,"$1,824 ",5.01%
95,Electronics,USA,1,14,7.05,4.4,2019,"$1,859 ","$1,859 ",7.05%
96,Home & Kitchen,India,9,2,1.55,4,2025,$487 ,"$4,383 ",1.55%
97,Sports & Outdoors,China,2,3,6.5,3.9,2013,$138 ,$276 ,6.50%
98,Clothing,USA,1,5,0.84,5,2011,$62 ,$62 ,0.84%
99,Clothing,China,7,12,1.81,2,2021,$192 ,"$1,344 ",1.81%
100,Electronics,Nigeria,6,10,4.76,3.9,2025,$854 ,"$5,124 ",4.76%
101,Beauty & Health,Brazil,6,13,6.54,3.2,2020,$57 ,$342 ,6.54%
102,Electronics,South Africa,5,13,1.46,2.3,2019,$728 ,"$3,640 ",1.46%
103,Beauty & Health,UK,4,14,1.85,1.6,2014,$11 ,$44 ,1.85%
104,Clothing,Brazil,4,6,2.04,4.6,2022,$200 ,$800 ,2.04%
105,Electronics,Ghana,3,7,2.39,3.4,2021,"$1,966 ","$5,898 ",2.39%
106,Sports & Outdoors,France,10,4,2.27,4.3,2012,$61 ,$610 ,2.27%
107,Home & Kitchen,China,8,7,3.95,3.2,2021,$409 ,"$3,272 ",3.95%
108,Beauty & Health,Germany,7,10,6.54,1.9,2020,$13 ,$91 ,6.54%
109,Home & Kitchen,Brazil,9,3,4.38,2.4,2025,$305 ,"$2,745 ",4.38%
110,Home & Kitchen,India,1,7,7.76,2.5,2010,$262 ,$262 ,7.76%
111,Electronics,Ghana,7,4,7.19,4.9,2011,"$1,736 ","$12,152 ",7.19%
112,Home & Kitchen,UK,10,13,1.27,1,2020,$101 ,"$1,010 ",1.27%
113,Sports & Outdoors,India,4,13,0.49,4.9,2025,$884 ,"$3,536 ",0.49%
114,Home & Kitchen,India,7,8,8.78,4.9,2021,$463 ,"$3,241 ",8.78%
115,Electronics,Germany,1,9,0.8,5,2016,$183 ,$183 ,0.80%
116,Sports & Outdoors,China,5,7,1.48,2.9,2024,$792 ,"$3,960 ",1.48%
117,Clothing,Germany,3,8,0.22,4.9,2010,$163 ,$489 ,0.22%
118,Home & Kitchen,Brazil,5,8,6.28,2.6,2024,$65 ,$325 ,6.28%
119,Electronics,India,4,2,5.82,1.1,2021,$649 ,"$2,596 ",5.82%
120,Clothing,USA,2,9,9.87,1.9,2022,$12 ,$24 ,9.87%
121,Clothing,Kenya,4,6,8.87,4.8,2022,$196 ,$784 ,8.87%
122,Beauty & Health,UK,3,11,4.11,1.1,2011,$17 ,$51 ,4.11%
123,Sports & Outdoors,USA,1,4,3.72,3.2,2023,$242 ,$242 ,3.72%
124,Home & Kitchen,UK,10,5,2.97,1.3,2019,$479 ,"$4,790 ",2.97%
125,Electronics,China,8,10,1.52,2.1,2016,$518 ,"$4,144 ",1.52%
126,Beauty & Health,Kenya,5,5,1.38,1.4,2010,$91 ,$455 ,1.38%
127,Sports & Outdoors,France,4,7,1.32,4.4,2016,$278 ,"$1,112 ",1.32%
128,Beauty & Health,Kenya,10,14,1.14,3.4,2022,$57 ,$570 ,1.14%
129,Sports & Outdoors,China,5,9,2.41,4.6,2017,$330 ,"$1,650 ",2.41%
130,Sports & Outdoors,Egypt,4,7,3.07,3.8,2020,$192 ,$768 ,3.07%
131,Home & Kitchen,Brazil,3,9,9.62,4.9,2022,$336 ,"$1,008 ",9.62%
132,Sports & Outdoors,China,5,4,5.78,3,2023,$726 ,"$3,630 ",5.78%
133,Beauty & Health,Brazil,4,10,9.88,3.6,2011,$88 ,$352 ,9.88%
134,Sports & Outdoors,Ghana,1,14,3.72,3.3,2013,$515 ,$515 ,3.72%
135,Home & Kitchen,USA,3,10,4.58,2.9,2016,$259 ,$777 ,4.58%
136,Home & Kitchen,Ghana,10,4,3.25,4.4,2010,$442 ,"$4,420 ",3.25%
137,Beauty & Health,Egypt,10,6,1.83,3.6,2015,$77 ,$770 ,1.83%
138,Clothing,Kenya,8,8,1.43,4.2,2014,$121 ,$968 ,1.43%
139,Clothing,Brazil,7,14,9.45,4.1,2020,$71 ,$497 ,9.45%
140,Sports & Outdoors,Nigeria,2,9,9.87,1.8,2015,$44 ,$88 ,9.87%
141,Electronics,Kenya,1,1,0.45,3.6,2025,"$1,687 ","$1,687 ",0.45%
142,Sports & Outdoors,Kenya,3,1,1.5,1.8,2017,$581 ,"$1,743 ",1.50%
143,Beauty & Health,Egypt,5,13,4.24,3.3,2020,$5 ,$25 ,4.24%
144,Beauty & Health,France,10,8,1.86,3.7,2020,$43 ,$430 ,1.86%
145,Beauty & Health,UK,1,11,3.64,5,2010,$56 ,$56 ,3.64%
146,Beauty & Health,India,3,7,1.29,1.1,2025,$80 ,$240 ,1.29%
147,Beauty & Health,India,3,9,4.57,1.4,2012,$44 ,$132 ,4.57%
148,Home & Kitchen,Egypt,5,11,2.72,1.3,2020,$246 ,"$1,230 ",2.72%
149,Clothing,UK,3,3,3.52,2.6,2025,$69 ,$207 ,3.52%
150,Beauty & Health,Brazil,9,10,0.94,4.3,2022,$92 ,$828 ,0.94%
151,Electronics,Egypt,1,12,4.28,4.4,2018,$556 ,$556 ,4.28%
152,Electronics,UK,4,5,9.83,3.9,2025,$977 ,"$3,908 ",9.83%
153,Electronics,China,10,3,3.29,4.6,2025,"$1,975 ","$19,750 ",3.29%
154,Electronics,Ghana,10,5,8.76,2.3,2021,"$1,832 ","$18,320 ",8.76%
155,Home & Kitchen,Egypt,4,10,8.43,1.4,2017,$290 ,"$1,160 ",8.43%
156,Electronics,China,1,1,9.52,1.2,2013,"$1,976 ","$1,976 ",9.52%
157,Beauty & Health,Brazil,2,14,7.9,4.4,2020,$6 ,$12 ,7.90%
158,Sports & Outdoors,Egypt,1,11,6.6,3.9,2023,$488 ,$488 ,6.60%
159,Electronics,Brazil,6,4,8.57,3.8,2025,"$1,229 ","$7,374 ",8.57%
160,Home & Kitchen,Egypt,3,6,0.76,2.4,2019,$230 ,$690 ,0.76%
161,Home & Kitchen,UK,7,2,4.63,2.5,2018,$279 ,"$1,953 ",4.63%
162,Electronics,France,5,13,9.89,4.8,2016,$778 ,"$3,890 ",9.89%
163,Sports & Outdoors,South Africa,9,7,7.7,1.3,2011,$778 ,"$7,002 ",7.70%
164,Electronics,China,7,8,9.62,4.1,2010,$513 ,"$3,591 ",9.62%
165,Home & Kitchen,UK,4,1,7.8,2.2,2010,$452 ,"$1,808 ",7.80%
166,Clothing,USA,5,13,8.75,1.2,2022,$67 ,$335 ,8.75%
167,Beauty & Health,Germany,5,4,7.07,4,2025,$48 ,$240 ,7.07%
168,Home & Kitchen,China,5,11,7.61,2.3,2012,$57 ,$285 ,7.61%
169,Electronics,France,10,4,5.23,3.9,2022,$237 ,"$2,370 ",5.23%
170,Beauty & Health,Ghana,9,13,9.24,3.8,2025,$52 ,$468 ,9.24%
171,Electronics,Kenya,10,5,8.25,3.1,2023,$737 ,"$7,370 ",8.25%
172,Electronics,India,3,14,8.44,4.1,2024,$568 ,"$1,704 ",8.44%
173,Clothing,UK,6,12,6.73,3.3,2019,$154 ,$924 ,6.73%
174,Beauty & Health,Egypt,8,12,3.05,2.1,2011,$9 ,$72 ,3.05%
175,Beauty & Health,UK,9,4,0.36,3.9,2013,$74 ,$666 ,0.36%
176,Clothing,China,7,9,9.36,3.4,2023,$116 ,$812 ,9.36%
177,Home & Kitchen,Nigeria,3,7,5.86,1.1,2024,$208 ,$624 ,5.86%
178,Electronics,China,1,13,2.98,4.6,2023,$426 ,$426 ,2.98%
179,Sports & Outdoors,France,4,2,1.49,3.2,2017,$769 ,"$3,076 ",1.49%
180,Electronics,South Africa,6,1,8.3,4.5,2014,$743 ,"$4,458 ",8.30%
181,Electronics,Ghana,3,9,8.37,4.5,2025,$456 ,"$1,368 ",8.37%
182,Home & Kitchen,Nigeria,1,1,8.15,2.8,2014,$97 ,$97 ,8.15%
183,Electronics,Brazil,6,6,6.45,3,2015,$600 ,"$3,600 ",6.45%
184,Clothing,Nigeria,1,2,3.66,2.7,2022,$37 ,$37 ,3.66%
185,Clothing,UK,9,4,3.04,2.8,2021,$115 ,"$1,035 ",3.04%
186,Beauty & Health,Ghana,1,6,0.09,4.6,2025,$42 ,$42 ,0.09%
187,Sports & Outdoors,UK,6,5,8.34,4.2,2024,$85 ,$510 ,8.34%
188,Electronics,Brazil,1,11,0.87,1.5,2024,$294 ,$294 ,0.87%
189,Electronics,China,7,6,6.31,3.4,2014,"$1,311 ","$9,177 ",6.31%
190,Home & Kitchen,Kenya,3,3,5.04,5,2014,$61 ,$183 ,5.04%
191,Clothing,Ghana,6,5,5.27,3.4,2024,$115 ,$690 ,5.27%
192,Sports & Outdoors,Kenya,7,2,9.27,4.1,2023,$890 ,"$6,230 ",9.27%
193,Beauty & Health,France,1,7,0.32,4.1,2016,$29 ,$29 ,0.32%
194,Clothing,France,1,3,7.73,2.4,2015,$75 ,$75 ,7.73%
195,Beauty & Health,Kenya,5,1,0.52,2.5,2022,$83 ,$415 ,0.52%
196,Home & Kitchen,France,6,14,0.38,3.9,2022,$81 ,$486 ,0.38%
197,Home & Kitchen,Ghana,9,8,4.3,3,2025,$211 ,"$1,899 ",4.30%
198,Electronics,Egypt,1,8,0.63,3.3,2025,"$1,369 ","$1,369 ",0.63%
199,Sports & Outdoors,USA,4,3,7.89,3.9,2023,$827 ,"$3,308 ",7.89%
200,Beauty & Health,France,10,13,5.3,4.1,2019,$54 ,$540 ,5.30%
201,Clothing,France,8,7,0.29,2.1,2020,$124 ,$992 ,0.29%
202,Home & Kitchen,UK,10,9,0.41,1.6,2011,$182 ,"$1,820 ",0.41%
203,Electronics,Kenya,9,8,6.13,2.2,2022,$730 ,"$6,570 ",6.13%
204,Electronics,Germany,3,3,8.06,3,2010,"$1,288 ","$3,864 ",8.06%
205,Beauty & Health,South Africa,2,13,4.38,2.4,2010,$95 ,$190 ,4.38%
206,Home & Kitchen,India,4,2,5.55,3.3,2013,$211 ,$844 ,5.55%
207,Sports & Outdoors,India,2,13,8,1.2,2011,$420 ,$840 ,8.00%
208,Home & Kitchen,Nigeria,1,10,6.11,3,2015,$332 ,$332 ,6.11%
209,Beauty & Health,France,3,7,2.25,2.5,2025,$45 ,$135 ,2.25%
210,Beauty & Health,Nigeria,7,7,6.13,3.1,2021,$80 ,$560 ,6.13%
211,Home & Kitchen,Ghana,1,9,6.28,2.7,2021,$440 ,$440 ,6.28%
212,Beauty & Health,Germany,2,5,7.34,2.1,2018,$35 ,$70 ,7.34%
213,Home & Kitchen,South Africa,1,4,6.21,4.6,2019,$47 ,$47 ,6.21%
214,Clothing,Kenya,8,8,9.69,1.7,2020,$52 ,$416 ,9.69%
215,Home & Kitchen,China,5,14,1.97,3.7,2024,$363 ,"$1,815 ",1.97%
216,Home & Kitchen,USA,8,4,9.51,4.7,2023,$244 ,"$1,952 ",9.51%
217,Beauty & Health,South Africa,3,4,5.38,3.2,2019,$71 ,$213 ,5.38%
218,Beauty & Health,South Africa,7,12,6.72,4.5,2017,$42 ,$294 ,6.72%
219,Electronics,China,8,14,0.99,1.5,2013,$908 ,"$7,264 ",0.99%
220,Electronics,USA,6,12,3.81,3,2022,$985 ,"$5,910 ",3.81%
221,Clothing,Egypt,7,2,7.69,2.8,2021,$200 ,"$1,400 ",7.69%
222,Electronics,Kenya,2,13,7.07,1,2011,$513 ,"$1,026 ",7.07%
223,Home & Kitchen,China,8,1,0.4,2.8,2010,$445 ,"$3,560 ",0.40%
224,Beauty & Health,UK,5,4,5.47,2.5,2016,$26 ,$130 ,5.47%
225,Electronics,Nigeria,7,7,0.88,3.7,2019,"$1,353 ","$9,471 ",0.88%
226,Electronics,India,1,12,9.96,4.8,2012,"$1,219 ","$1,219 ",9.96%
227,Clothing,France,5,9,8.97,1.3,2023,$136 ,$680 ,8.97%
228,Clothing,South Africa,1,9,0.21,2.3,2015,$192 ,$192 ,0.21%
229,Home & Kitchen,Ghana,8,12,8.59,2.8,2014,$185 ,"$1,480 ",8.59%
230,Beauty & Health,India,4,10,9.19,2.8,2014,$65 ,$260 ,9.19%
231,Clothing,India,4,1,3.54,4.1,2021,$83 ,$332 ,3.54%
232,Electronics,USA,2,5,7.2,2.8,2011,$643 ,"$1,286 ",7.20%
233,Beauty & Health,Nigeria,5,7,4.42,1.1,2023,$8 ,$40 ,4.42%
234,Beauty & Health,Germany,1,13,6.55,3.8,2018,$97 ,$97 ,6.55%
235,Electronics,USA,9,7,3.4,4.5,2020,"$1,680 ","$15,120 ",3.40%
236,Clothing,China,5,10,3.23,3.1,2013,$81 ,$405 ,3.23%
237,Electronics,Germany,6,6,4.24,3.3,2019,"$1,122 ","$6,732 ",4.24%
238,Beauty & Health,Kenya,2,11,1.46,1.7,2010,$24 ,$48 ,1.46%
239,Sports & Outdoors,South Africa,10,10,8.31,1.9,2011,$258 ,"$2,580 ",8.31%
240,Sports & Outdoors,Ghana,10,4,3.49,1.9,2018,$730 ,"$7,300 ",3.49%
241,Home & Kitchen,India,1,3,4,2.7,2025,$79 ,$79 ,4.00%
242,Electronics,France,4,12,8.94,4.7,2016,"$1,823 ","$7,292 ",8.94%
243,Electronics,Germany,7,13,4.97,3.1,2019,"$1,212 ","$8,484 ",4.97%
244,Home & Kitchen,Nigeria,6,9,5.44,1.8,2011,$424 ,"$2,544 ",5.44%
245,Home & Kitchen,Egypt,10,12,9.56,2.1,2025,$215 ,"$2,150 ",9.56%
246,Home & Kitchen,Kenya,1,13,8.87,2.5,2016,$37 ,$37 ,8.87%
247,Beauty & Health,Egypt,1,10,1.69,3.5,2023,$44 ,$44 ,1.69%
248,Electronics,Kenya,8,4,4.73,2.8,2013,$741 ,"$5,928 ",4.73%
249,Beauty & Health,UK,4,8,9.71,2.6,2019,$30 ,$120 ,9.71%
250,Home & Kitchen,Nigeria,5,13,3.72,3.3,2011,$92 ,$460 ,3.72%
251,Electronics,China,7,1,3.72,2,2021,$289 ,"$2,023 ",3.72%
252,Beauty & Health,India,8,7,1.95,1.3,2013,$48 ,$384 ,1.95%
253,Beauty & Health,Egypt,10,12,1.14,1.1,2014,$35 ,$350 ,1.14%
254,Home & Kitchen,Ghana,7,6,7.4,2,2022,$168 ,"$1,176 ",7.40%
255,Electronics,South Africa,2,13,7.7,1.4,2023,"$1,114 ","$2,228 ",7.70%
256,Home & Kitchen,USA,4,12,9.69,2.3,2013,$127 ,$508 ,9.69%
257,Electronics,France,10,1,7.73,4.1,2024,"$1,462 ","$14,620 ",7.73%
258,Sports & Outdoors,China,1,4,2.43,3.9,2012,$648 ,$648 ,2.43%
259,Clothing,South Africa,10,12,0.4,3.4,2015,$14 ,$140 ,0.40%
260,Clothing,India,9,14,9.85,4.4,2010,$130 ,"$1,170 ",9.85%
261,Clothing,South Africa,3,5,3.4,2.1,2017,$79 ,$237 ,3.40%
262,Home & Kitchen,Kenya,3,11,3.12,4.5,2021,$49 ,$147 ,3.12%
263,Sports & Outdoors,Ghana,10,8,9.06,2.6,2014,$803 ,"$8,030 ",9.06%
264,Electronics,India,9,4,5.85,2.6,2017,$770 ,"$6,930 ",5.85%
265,Beauty & Health,Kenya,10,3,2.15,2.6,2019,$86 ,$860 ,2.15%
266,Electronics,Brazil,3,2,8.89,1.4,2013,$625 ,"$1,875 ",8.89%
267,Beauty & Health,Germany,8,4,9.93,4.9,2013,$29 ,$232 ,9.93%
268,Electronics,France,2,11,0.87,1.6,2014,$946 ,"$1,892 ",0.87%
269,Sports & Outdoors,Germany,3,10,8.62,2.4,2014,$237 ,$711 ,8.62%
270,Beauty & Health,USA,2,14,3.91,2.3,2020,$79 ,$158 ,3.91%
271,Home & Kitchen,Brazil,1,13,5.24,1.3,2015,$115 ,$115 ,5.24%
272,Electronics,Nigeria,2,4,9.15,1.6,2014,"$1,484 ","$2,968 ",9.15%
273,Electronics,USA,8,13,9.73,1.2,2014,"$1,864 ","$14,912 ",9.73%
274,Beauty & Health,USA,9,10,2.62,2.2,2022,$75 ,$675 ,2.62%
275,Home & Kitchen,UK,2,5,2.13,4.5,2017,$416 ,$832 ,2.13%
276,Home & Kitchen,France,7,13,0.81,2.4,2015,$192 ,"$1,344 ",0.81%
277,Sports & Outdoors,Kenya,5,7,5.62,1.5,2011,$295 ,"$1,475 ",5.62%
278,Home & Kitchen,Ghana,3,9,0.14,3.6,2013,$326 ,$978 ,0.14%
279,Home & Kitchen,Germany,9,2,4.12,5,2013,$144 ,"$1,296 ",4.12%
280,Home & Kitchen,USA,6,5,0.73,1.9,2014,$424 ,"$2,544 ",0.73%
281,Clothing,Germany,1,11,4.05,2.1,2024,$32 ,$32 ,4.05%
282,Sports & Outdoors,China,5,10,0.4,4.9,2024,$307 ,"$1,535 ",0.40%
283,Electronics,Germany,7,9,8.35,1.7,2015,"$1,776 ","$12,432 ",8.35%
284,Beauty & Health,Nigeria,4,12,2.1,3,2020,$17 ,$68 ,2.10%
285,Electronics,India,8,14,3.28,2,2014,"$1,524 ","$12,192 ",3.28%
286,Sports & Outdoors,China,10,13,8.7,4.7,2025,$236 ,"$2,360 ",8.70%
287,Beauty & Health,China,5,3,7.46,4.9,2023,$62 ,$310 ,7.46%
288,Sports & Outdoors,France,9,1,2.19,4.3,2023,$489 ,"$4,401 ",2.19%
289,Home & Kitchen,France,9,2,0.72,2.3,2025,$41 ,$369 ,0.72%
290,Beauty & Health,Egypt,9,14,7.16,2.6,2020,$21 ,$189 ,7.16%
291,Home & Kitchen,South Africa,1,6,3.91,2,2015,$232 ,$232 ,3.91%
292,Electronics,France,2,5,7.66,4.6,2017,$521 ,"$1,042 ",7.66%
293,Electronics,Germany,3,1,4.45,4.7,2013,"$1,137 ","$3,411 ",4.45%
294,Beauty & Health,Kenya,4,1,3.46,2.7,2020,$18 ,$72 ,3.46%
295,Beauty & Health,Germany,10,11,4.51,3.6,2012,$16 ,$160 ,4.51%
296,Sports & Outdoors,Kenya,9,4,7.49,1.7,2018,$344 ,"$3,096 ",7.49%
297,Sports & Outdoors,India,10,12,9.02,2.7,2012,$343 ,"$3,430 ",9.02%
298,Home & Kitchen,India,6,4,0.5,3.5,2020,$69 ,$414 ,0.50%
299,Beauty & Health,China,1,6,5.24,2.5,2017,$67 ,$67 ,5.24%
300,Electronics,Egypt,9,6,0.33,2.4,2019,$384 ,"$3,456 ",0.33%
301,Sports & Outdoors,Kenya,6,10,4.68,1,2021,$108 ,$648 ,4.68%
302,Sports & Outdoors,China,4,14,8.85,4.2,2014,$64 ,$256 ,8.85%
303,Electronics,France,4,6,3.62,4.6,2025,"$1,767 ","$7,068 ",3.62%
304,Sports & Outdoors,Nigeria,3,1,9.32,4.9,2018,$517 ,"$1,551 ",9.32%
305,Home & Kitchen,Kenya,7,10,6.31,3.9,2012,$414 ,"$2,898 ",6.31%
306,Beauty & Health,India,3,9,9.34,3.2,2019,$70 ,$210 ,9.34%
307,Electronics,Germany,2,11,7.57,2.1,2019,"$1,914 ","$3,828 ",7.57%
308,Beauty & Health,Ghana,10,7,1.03,5,2017,$72 ,$720 ,1.03%
309,Sports & Outdoors,France,8,7,2.31,3.4,2023,$679 ,"$5,432 ",2.31%
310,Sports & Outdoors,Ghana,4,11,3.94,3.7,2022,$164 ,$656 ,3.94%
311,Electronics,Brazil,8,7,1.7,3.7,2022,"$1,047 ","$8,376 ",1.70%
